"image_name","caption"
"302_jpg.rf.ab54de0804da8945d845eea7bd5e1621.jpg","araffe turtle swimming in the ocean with a green background"
"Image_1502.jpg","there is a turtle swimming in the water with a lot of sand"
"Image_811.jpg","araffe turtle swimming in the ocean with a blue background"
"Image_1264.jpg","there is a turtle that is swimming in the water"
"img-000886_jpg.rf.dca29be6fb1e81b30faccd3edf1eccf3.jpg","there is a man swimming in the water with a dog"
"Image_1270.jpg","there is a turtle swimming in the ocean with bubbles coming out of its mouth"
"Image_805.jpg","arafed turtle swimming in the ocean with corals and water"
"515_jpg.rf.1b845441962b235a6b50321192cdf63a.jpg","araffe swimming in the ocean with a turtle in the water"
"Image_1516.jpg","arafed turtle swimming in the ocean with its mouth open"
"Image_1258.jpg","there is a turtle swimming on the ocean floor with corals"
"Image_346.png","there is a turtle swimming in the water with its head above the water"
"img-000745_jpg.rf.3bba090fdbb93acf6d11e95529ed136e.jpg","there is a turtle laying on the beach at sunset"
"Image_187.jpg","there is a turtle swimming in the ocean with sun shining"
"Image_839.jpg","arafed turtle swimming in the ocean with a blue background"
"649_jpg.rf.606177f035816aeb4e26c556952a7d8c.jpg","araffe turtle swimming in the ocean water with its head above the water"
"Image_178.jpg","there is a turtle swimming in the ocean with a blue sky"
"535_jpg.rf.328d37c8148c7668cf16078d247c8f3f.jpg","araffe swimming in the ocean with a turtle in the background"
"img-001064_jpg.rf.57448801657f02b56d37fbaac6647ffd.jpg","there is a turtle that is laying on the ground with its head in the water"
"199_jpg.rf.832223f563d1855a946501f76e5b4a6b.jpg","araffe turtle swimming in the ocean with a green background"
"img-001817_jpg.rf.6c472fe626832895236e1906f21aba65.jpg","there is a dolphin that is swimming in the water"
"Image_636.jpg","turtle on a coral reef with school of fish in the background"
"Image_150.jpg","there is a turtle that is swimming in the water"
"33_jpg.rf.a16334cc1c36fb90243d7354ab89a226.jpg","a close up of a turtle swimming in the ocean water"
"767_jpg.rf.402d316c66fdddc948256e5b58d9ace4.jpg","a close up of a turtle swimming in the ocean water"
"img-000655_jpg.rf.d2e2553e9699a54c3c0994dd3c7fc1a8.jpg","there are two baby turtles in a blue bowl with water"
"Image_144.jpg","there is a turtle that is swimming in the water"
"img-001906_jpg.rf.e283a683666e083ae81b70b0a77848bc.jpg","there are two turtles swimming in the clear water together"
"Image_622.jpg","there is a turtle that is laying on the sand"
"img-001646_jpg.rf.7e001e739b2ba31473e6f91d9fb9774d.jpg","there are two turtles that are laying on the ground"
"img-000298_jpg.rf.fec044389b50bbb6b68ec7bc41c64e1c.jpg","there is a turtle swimming in the water with a fish in its mouth"
"img-000233_jpg.rf.28cac92e91d99e52d2270745b585ad04.jpg","there is a turtle that is laying on the beach in the water"
"Image_1066.jpg","there is a turtle that is smiling and looking at the camera"
"img-001035_jpg.rf.9cc3ed0df4ef1895a15ba0823989100a.jpg","there is a turtle laying on the beach with a man standing nearby"
"img-000841_jpg.rf.030e71dd42567bb4a83d7ffeb23521e4.jpg","there is a baby turtle crawling out of the water on the beach"
"img-000630_jpg.rf.2821cc0c7c2f76b0ff7427e7f35d8617.jpg","there is a turtle swimming in the water with a wave coming up"
"612_jpg.rf.6bdd80ab972a55614d03de363c46b252.jpg","araffe swimming in the ocean with a bottle of water"
